,ind,occ,union,public_sector,multiple_jobs,salary,ptm,gender,self
215,health care and social assistance,middle management,0,0,1,79540.81632653062,0,1,0
216,construction,transport and equipment operators,0,0,0,57004.251700680274,0,0,0
217,public administration,clerical and supervisor occupations,1,1,0,62306.97278911565,0,1,0
218,"finance, insurance, real estate and leasing",,0,0,0,69598.21428571429,0,0,0
219,trade,clerical and supervisor occupations,0,0,0,64958.333333333336,0,1,0
220,health care and social assistance,professional in health,1,1,0,69598.21428571429,0,1,0
221,public administration,natural and applied sciences,0,1,0,112682.8231292517,0,1,0
222,educational services,"occupations in social science, government service and religion",1,1,0,69598.21428571429,0,1,0
223,"business, building and other support services","occupations in social science, government service and religion",0,0,1,89483.41836734694,0,0,1
224,trade,"retail salespersons, sales clerks, cashiers",0,0,0,38444.727891156464,0,1,0
225,construction,clerical and supervisor occupations,0,0,0,62969.81292517008,0,1,0
226,construction,construction trades,1,0,0,96111.81972789115,0,0,0
227,health care and social assistance,"technical, assisting and related in health",1,1,0,79540.81632653062,0,1,0
228,"professional, scientific and technical services","technical, assisting and related in health",1,0,0,42421.768707483,0,1,0
229,health care and social assistance,"technical, assisting and related in health",0,0,0,33142.00680272109,1,1,0
230,health care and social assistance,professional in health,1,1,0,145824.8299319728,0,1,0
231,other services,other trades,0,0,1,58329.93197278912,0,0,0
232,trade,middle management,0,0,0,51701.5306122449,0,1,0
233,educational services,,1,1,0,67609.69387755102,0,0,0
234,agriculture,occupations unique to primary industry,0,0,0,35793.36734693878,0,1,0
235,educational services,teachers and professors,0,0,0,43747.44897959184,0,1,0
236,manufacturing,"wholesale, technical, insurance, real estate sales specialists",0,0,0,79540.81632653062,0,0,0
237,manufacturing,machine operators and assemblers in manufacturing,1,0,0,51701.5306122449,0,0,0
238,manufacturing,machine operators and assemblers in manufacturing,0,0,0,92797.61904761904,0,0,0
239,public administration,,1,1,0,139196.42857142858,0,1,0
240,"professional, scientific and technical services",natural and applied sciences,0,0,0,139196.42857142858,0,0,0
241,manufacturing,natural and applied sciences,0,0,0,82855.01700680272,0,0,0
242,manufacturing,middle management,0,0,0,102740.22108843538,0,0,0
243,trade,"retail salespersons, sales clerks, cashiers",0,0,1,25850.76530612245,1,1,0
244,trade,"trades helpers, construction, and transportation labourers",0,0,0,66284.01360544217,0,0,0
245,health care and social assistance,professional in health,1,1,1,92797.61904761904,0,1,0
246,educational services,,1,1,0,62306.97278911565,0,1,0
247,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,69598.21428571429,0,1,0
248,educational services,childcare and home support workers,1,1,1,59655.61224489796,0,1,0
249,"business, building and other support services",occupations unique to primary industry,0,0,0,45073.12925170068,0,0,0
250,public administration,natural and applied sciences,1,1,0,57004.251700680274,0,1,0
251,"information, culture and recreation","wholesale, technical, insurance, real estate sales specialists",1,0,0,55678.57142857144,0,1,0
252,transportation and warehousing,clerical and supervisor occupations,1,1,0,57004.251700680274,0,1,0
253,construction,other trades,0,0,0,45073.12925170068,0,0,0
254,"professional, scientific and technical services","occupations in social science, government service and religion",0,0,0,42421.768707483,0,1,0
255,construction,other trades,0,0,0,72912.4149659864,0,0,0
256,educational services,teachers and professors,1,1,0,112682.8231292517,0,0,0
257,"business, building and other support services",middle management,0,0,0,251879.2517006803,0,1,0
258,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,16571.003401360544,1,1,0
259,trade,"retail salespersons, sales clerks, cashiers",0,0,0,31816.326530612245,0,1,0
260,manufacturing,clerical and supervisor occupations,1,0,0,50375.85034013606,0,0,0
261,educational services,teachers and professors,1,1,0,59655.61224489796,0,1,0
262,public administration,occupation in protective services,1,1,0,115997.02380952382,0,0,0
263,public administration,occupation in protective services,0,1,0,119311.22448979592,0,1,0
264,manufacturing,machine operators and assemblers in manufacturing,0,0,0,72912.4149659864,0,0,0
265,transportation and warehousing,natural and applied sciences,1,0,0,102740.22108843538,0,0,0
266,health care and social assistance,"technical, assisting and related in health",1,0,0,38444.727891156464,0,1,0
267,public administration,,1,1,0,139196.42857142858,0,0,0
268,"information, culture and recreation",,0,0,0,27839.28571428572,0,0,0
269,health care and social assistance,professional in health,1,1,0,119311.22448979592,0,1,0
270,accommodation and food services,"financial, secretarial and administrative",0,0,0,86169.21768707484,0,1,0
271,"finance, insurance, real estate and leasing",other trades,0,0,0,96111.81972789115,0,0,0
272,"information, culture and recreation","occupations in art, culture, recreation and sport",0,0,0,86169.21768707484,0,0,0
273,trade,"trades helpers, construction, and transportation labourers",0,0,0,59655.61224489796,0,0,0
274,manufacturing,machine operators and assemblers in manufacturing,0,0,0,54352.89115646259,0,0,0
275,trade,clerical and supervisor occupations,0,0,0,106054.42176870749,0,0,0
276,trade,other trades,1,0,0,119311.22448979592,0,0,0
277,manufacturing,middle management,0,0,0,76226.6156462585,0,0,0
278,health care and social assistance,professional in health,1,1,0,109368.6224489796,0,1,0
279,educational services,teachers and professors,1,0,0,72912.4149659864,0,1,0
280,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,96111.81972789115,0,0,0
281,other services,childcare and home support workers,0,0,0,41096.08843537415,0,1,0
282,manufacturing,other trades,1,0,0,86169.21768707484,0,0,0
283,trade,"retail salespersons, sales clerks, cashiers",0,0,0,102740.22108843538,0,1,0
284,"professional, scientific and technical services",professional in business and finance,0,0,0,76226.6156462585,0,0,0
285,trade,"retail salespersons, sales clerks, cashiers",0,0,0,5435.289115646258,1,1,0
286,trade,"retail salespersons, sales clerks, cashiers",0,0,0,26513.60544217687,0,1,0
287,"forestry, fishing, mining, oil and gas",natural and applied sciences,1,0,1,82855.01700680272,0,0,1
288,health care and social assistance,professional in health,1,1,0,102740.22108843538,0,1,0
289,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,42421.768707483,0,1,0
290,"professional, scientific and technical services",professional in business and finance,0,0,0,125939.62585034016,0,0,0
291,"forestry, fishing, mining, oil and gas",occupations unique to primary industry,1,0,0,152453.231292517,0,0,0
292,accommodation and food services,,0,0,0,31816.326530612245,0,1,0
293,"forestry, fishing, mining, oil and gas",other trades,1,0,0,115997.02380952382,0,0,0
294,manufacturing,other trades,1,0,0,76226.6156462585,0,0,0
295,accommodation and food services,"chefs and cooks, food and beverage service",0,0,1,38444.727891156464,1,0,0
296,health care and social assistance,"technical, assisting and related in health",1,0,0,30490.6462585034,1,1,0
297,public administration,natural and applied sciences,1,1,0,86169.21768707484,0,0,0
298,other services,natural and applied sciences,0,0,0,60981.292517006805,0,0,0
299,public administration,natural and applied sciences,1,1,0,102740.22108843538,0,0,0
300,"finance, insurance, real estate and leasing",clerical and supervisor occupations,1,0,0,16571.003401360544,0,1,0
301,manufacturing,other trades,0,0,0,82855.01700680272,0,0,0
302,educational services,,1,1,0,66284.01360544217,0,0,0
303,"forestry, fishing, mining, oil and gas",other trades,1,0,0,43747.44897959184,0,0,0
304,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,1,0,35793.36734693878,1,1,0
305,manufacturing,machine operators and assemblers in manufacturing,1,0,0,86169.21768707484,0,1,0
306,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,37119.04761904762,0,1,0
307,construction,construction trades,0,0,0,64958.333333333336,0,0,0
308,construction,"trades helpers, construction, and transportation labourers",0,0,0,46398.80952380953,0,0,0
309,utilities,other trades,1,1,0,115997.02380952382,0,0,0
310,health care and social assistance,"chefs and cooks, food and beverage service",0,0,0,37119.04761904762,0,1,0
311,"business, building and other support services",clerical and supervisor occupations,0,0,0,30490.6462585034,0,1,0
312,trade,clerical and supervisor occupations,0,0,0,59655.61224489796,0,1,0
313,health care and social assistance,"technical, assisting and related in health",1,0,0,42421.768707483,0,1,0
314,health care and social assistance,clerical and supervisor occupations,1,1,0,60981.292517006805,0,0,0
315,trade,middle management,0,0,0,145824.8299319728,0,0,0
316,health care and social assistance,construction trades,1,1,0,42421.768707483,0,1,0
317,manufacturing,machine operators and assemblers in manufacturing,1,0,0,51701.5306122449,0,0,0
318,transportation and warehousing,middle management,0,1,0,47724.48979591837,0,0,0
319,manufacturing,,1,0,0,21873.72448979592,1,1,0
320,public administration,clerical and supervisor occupations,1,1,0,31816.326530612245,0,1,0
321,educational services,teachers and professors,1,1,0,29164.96598639456,1,1,0
322,"information, culture and recreation",middle management,0,0,0,132568.02721088435,0,0,0
323,transportation and warehousing,contractors and supervisors in trades and transportation,0,1,0,92797.61904761904,0,0,0
324,health care and social assistance,"technical, assisting and related in health",0,1,1,23199.404761904763,1,1,0
325,public administration,"occupations in social science, government service and religion",1,1,0,89483.41836734694,0,0,0
326,public administration,clerical and supervisor occupations,1,1,0,62306.97278911565,0,1,0
327,health care and social assistance,professional in business and finance,0,0,0,72912.4149659864,0,1,0
328,transportation and warehousing,clerical and supervisor occupations,0,0,0,27839.28571428572,0,0,0
329,educational services,teachers and professors,1,1,0,53027.21088435374,0,1,0
330,trade,"retail salespersons, sales clerks, cashiers",0,0,0,21873.72448979592,0,1,0
331,educational services,teachers and professors,1,1,0,102740.22108843538,0,1,0
332,health care and social assistance,clerical and supervisor occupations,1,0,0,38444.727891156464,0,1,0
333,public administration,clerical and supervisor occupations,1,1,0,72912.4149659864,0,1,0
334,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,109368.6224489796,0,0,0
335,manufacturing,middle management,0,0,0,129253.82653061223,0,0,0
336,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,82855.01700680272,0,1,0
337,"information, culture and recreation",,0,0,0,31816.326530612245,0,1,0
338,health care and social assistance,"technical, assisting and related in health",1,1,0,129253.82653061223,0,1,0
339,trade,"financial, secretarial and administrative",0,0,0,69598.21428571429,0,1,0
340,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,26513.60544217687,0,1,0
341,trade,,1,0,0,53027.21088435374,0,1,0
342,trade,clerical and supervisor occupations,0,0,0,43747.44897959184,0,0,0
343,manufacturing,natural and applied sciences,0,0,0,119311.22448979592,0,0,0
344,public administration,clerical and supervisor occupations,1,1,0,79540.81632653062,0,0,0
345,utilities,other trades,1,1,0,82855.01700680272,0,0,0
346,manufacturing,machine operators and assemblers in manufacturing,0,0,0,58329.93197278912,0,0,0
347,manufacturing,machine operators and assemblers in manufacturing,1,0,0,122625.42517006805,0,0,0
348,other services,"occupations in art, culture, recreation and sport",0,0,0,50375.85034013606,0,1,0
349,construction,contractors and supervisors in trades and transportation,0,0,0,99426.02040816328,0,0,0
350,public administration,"financial, secretarial and administrative",1,1,0,99426.02040816328,0,1,0
351,health care and social assistance,clerical and supervisor occupations,1,1,0,54352.89115646259,0,0,0
352,manufacturing,other trades,1,0,0,112682.8231292517,0,0,0
353,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,1,0,64958.333333333336,0,1,0
354,"finance, insurance, real estate and leasing",natural and applied sciences,0,0,0,62306.97278911565,0,0,0
355,educational services,"occupations in social science, government service and religion",0,1,0,60981.292517006805,1,1,0
356,accommodation and food services,"retail salespersons, sales clerks, cashiers",0,0,0,26513.60544217687,0,1,0
