year,lfs,exp,salary,weight,age,ftpt,edu,sex,industry,occup,self_emp,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,union,student_status,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,public_sector,multiple_jobs,firm_size,loc_size,tenure,edu_level
2010,employed all year,27.0,72912.4149659864,869.8066,48.0,full-time,non-university postsecondary certificate,1,"professional, scientific and technical services","occupations in social science, government service and religion",0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,336.0,4
2010,employed all year,18.0,145824.8299319728,703.7401,46.0,full-time,non-university postsecondary certificate,0,trade,natural and applied sciences,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,100.0,134.0,4
2010,employed all year,1.0,29164.96598639456,1247.0272,28.0,full-time,university certificate above bachelor,1,trade,"retail salespersons, sales clerks, cashiers",0,1,1,0,1,1,0,0,0,0,0,0,1,100.0,1.0,20.0,6
2010,employed all year,28.0,89483.41836734694,707.1693,49.0,full-time,some non-university postsecondary (no certificate),1,public administration,clerical and supervisor occupations,0,1,1,0,0,0,1,0,0,0,0,1,0,1000.0,500.0,229.0,3
2010,employed all year,5.0,59655.61224489796,623.3183,51.0,part-time,bachelor's degree,1,health care and social assistance,"technical, assisting and related in health",0,1,1,0,1,0,1,1,0,0,0,1,1,100.0,100.0,24.0,5
2010,employed all year,0.0,11599.702380952382,1197.3281,19.0,part-time,11-13 years of elementary and secondary school (not graduated),0,trade,,0,1,0,0,0,0,1,0,0,0,0,0,0,1000.0,100.0,36.0,2
2010,employed all year,26.0,132568.02721088435,296.215,46.0,full-time,non-university postsecondary certificate,1,manufacturing,middle management,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,100.0,318.0,4
2010,employed all year,13.0,49050.17006802721,604.8745,36.0,part-time,non-university postsecondary certificate,0,public administration,natural and applied sciences,0,1,1,1,0,0,1,0,0,0,0,1,0,20.0,20.0,56.0,4
2010,employed all year,20.0,57004.251700680274,84.7525,39.0,full-time,non-university postsecondary certificate,0,educational services,construction trades,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,20.0,72.0,4
2010,employed all year,18.0,79540.81632653062,737.4119,35.0,full-time,non-university postsecondary certificate,0,manufacturing,machine operators and assemblers in manufacturing,0,1,1,1,0,0,1,0,0,0,0,0,0,500.0,500.0,125.0,4
2010,employed all year,2.0,31816.326530612245,214.7173,22.0,full-time,graduated high school,0,trade,clerical and supervisor occupations,0,1,1,0,0,0,0,0,0,0,0,0,0,20.0,1.0,16.0,3
2010,employed all year,29.0,112682.8231292517,619.2509,51.0,full-time,bachelor's degree,1,health care and social assistance,professional in health,0,1,1,0,1,0,1,0,0,0,0,1,0,1000.0,1000.0,354.0,5
2010,employed all year,29.0,115997.02380952382,1154.5882,48.0,full-time,some university (no certificate),1,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,1,1,0,0,0,0,0,0,0,0,0,0,1000.0,100.0,16.0,3
2010,employed all year,21.0,43747.44897959184,1444.6473,43.0,full-time,graduated high school,1,accommodation and food services,"chefs and cooks, food and beverage service",0,1,1,0,0,0,0,0,0,0,0,0,1,1000.0,20.0,96.0,3
2010,employed all year,20.0,55678.571428571435,168.9218,44.0,full-time,non-university postsecondary certificate,1,health care and social assistance,clerical and supervisor occupations,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,29.0,4
2010,employed all year,32.0,66284.01360544217,123.8133,56.0,full-time,some non-university postsecondary (no certificate),0,public administration,other trades,0,1,1,0,0,0,1,0,0,0,0,1,0,100.0,100.0,351.0,3
2010,employed all year,1.0,19885.204081632655,373.6837,28.0,full-time,some university (no certificate),0,other services,childcare and home support workers,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,12.0,3
2010,employed all year,10.0,106054.42176870749,706.3196,30.0,full-time,graduated high school,0,trade,transport and equipment operators,0,1,1,0,0,0,0,0,0,0,0,0,0,20.0,20.0,39.0,3
2010,employed all year,6.0,38444.727891156464,704.6458,31.0,full-time,bachelor's degree,1,manufacturing,machine operators and assemblers in manufacturing,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,29.0,5
2010,employed all year,38.0,106054.42176870749,119.723,58.0,full-time,non-university postsecondary certificate,1,health care and social assistance,middle management,0,1,1,1,0,0,0,0,0,0,0,0,1,1000.0,20.0,424.0,4
2010,employed all year,33.0,57004.251700680274,135.3571,60.0,full-time,non-university postsecondary certificate,1,public administration,clerical and supervisor occupations,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,1000.0,108.0,4
2010,employed all year,19.0,43747.44897959184,743.9976,43.0,full-time,non-university postsecondary certificate,1,"professional, scientific and technical services",clerical and supervisor occupations,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,1.0,10.0,4
2010,employed all year,8.0,29164.96598639456,534.7758,36.0,full-time,non-university postsecondary certificate,1,trade,"retail salespersons, sales clerks, cashiers",0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,1.0,43.0,4
2010,employed all year,21.0,102740.22108843538,332.8343,48.0,full-time,bachelor's degree,0,"finance, insurance, real estate and leasing",natural and applied sciences,0,1,1,0,1,0,0,0,0,0,0,0,0,100.0,100.0,231.0,5
2010,employed all year,3.0,89483.41836734694,1239.8957,23.0,full-time,non-university postsecondary certificate,1,health care and social assistance,"technical, assisting and related in health",0,1,1,1,0,0,0,1,0,0,0,1,0,1000.0,1000.0,19.0,4
2010,employed all year,0.0,19222.363945578232,138.6847,45.0,part-time,graduated high school,1,trade,"retail salespersons, sales clerks, cashiers",0,1,1,0,0,0,1,0,0,0,0,0,0,1000.0,20.0,252.0,3
2010,employed all year,39.0,72912.4149659864,116.9995,55.0,full-time,graduated high school,0,health care and social assistance,construction trades,0,1,1,0,0,0,1,0,0,0,0,1,0,1000.0,20.0,48.0,3
2010,employed all year,25.0,23862.244897959186,548.0839,58.0,part-time,9-10 years of elementary and secondary school,1,construction,"financial, secretarial and administrative",0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,159.0,2
2010,employed all year,17.0,119311.22448979592,386.2345,39.0,full-time,non-university postsecondary certificate,1,public administration,occupation in protective services,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,20.0,204.0,4
2010,employed all year,0.0,22536.56462585034,407.2787,60.0,part-time,graduated high school,1,"professional, scientific and technical services",clerical and supervisor occupations,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,158.0,3
2010,employed all year,25.0,99426.02040816327,1253.7074,49.0,full-time,university certificate above bachelor,1,"business, building and other support services","occupations in social science, government service and religion",0,1,1,0,1,1,0,0,0,0,0,0,0,100.0,20.0,55.0,6
2010,employed all year,29.0,53027.21088435374,1287.133,58.0,full-time,non-university postsecondary certificate,0,trade,"retail salespersons, sales clerks, cashiers",0,1,1,1,0,0,1,0,0,0,0,0,0,1000.0,20.0,72.0,4
2010,employed all year,15.0,82855.01700680272,187.6727,44.0,full-time,bachelor's degree,1,educational services,"occupations in art, culture, recreation and sport",0,1,1,0,1,0,1,0,0,0,0,1,0,1000.0,500.0,52.0,5
2010,employed all year,22.0,132568.02721088435,437.3773,43.0,full-time,some university (no certificate),0,"forestry, fishing, mining, oil and gas",natural and applied sciences,0,1,1,0,0,0,1,1,0,0,0,0,0,1000.0,100.0,260.0,3
2010,employed all year,1.0,19222.363945578232,2292.9397,51.0,full-time,some non-university postsecondary (no certificate),1,manufacturing,clerical and supervisor occupations,0,1,1,0,0,0,0,0,0,0,0,0,0,20.0,1.0,16.0,3
2010,employed all year,44.0,43747.44897959184,504.4226,68.0,part-time,bachelor's degree,1,other services,"financial, secretarial and administrative",0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,209.0,5
2010,employed all year,34.0,72912.4149659864,1223.657,53.0,full-time,graduated high school,1,trade,professional in business and finance,0,1,1,0,0,0,0,0,0,0,0,0,0,20.0,20.0,308.0,3
2010,employed all year,4.0,69598.21428571429,1671.2973,28.0,full-time,bachelor's degree,0,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,1,1,0,1,0,0,0,0,0,0,0,0,1000.0,1000.0,47.0,5
2010,employed all year,24.0,278392.85714285716,807.0535,45.0,full-time,bachelor's degree,0,trade,,0,1,1,0,1,0,0,0,0,0,0,0,0,20.0,20.0,29.0,5
2010,employed all year,22.0,38444.727891156464,1096.4967,47.0,full-time,non-university postsecondary certificate,1,transportation and warehousing,clerical and supervisor occupations,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,100.0,156.0,4
2010,employed all year,12.0,102740.22108843538,551.4587,52.0,full-time,non-university postsecondary certificate,1,health care and social assistance,"occupations in social science, government service and religion",0,1,1,1,0,0,1,0,0,0,0,1,0,100.0,100.0,177.0,4
2010,employed all year,38.0,29164.96598639456,337.512,58.0,full-time,non-university postsecondary certificate,1,manufacturing,"wholesale, technical, insurance, real estate sales specialists",0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,20.0,4
2010,employed all year,29.0,92797.61904761905,1325.0905,52.0,full-time,non-university postsecondary certificate,1,health care and social assistance,professional in health,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,1000.0,107.0,4
2010,employed all year,20.0,15908.163265306122,927.7209,42.0,part-time,bachelor's degree,1,educational services,"occupations in art, culture, recreation and sport",0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,168.0,5
2010,employed all year,21.0,13256.802721088436,1108.6181,43.0,full-time,some non-university postsecondary (no certificate),1,other services,,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,59.0,3
2010,employed all year,11.0,34467.68707482993,676.2004,35.0,full-time,non-university postsecondary certificate,0,trade,"occupations in art, culture, recreation and sport",0,1,1,1,0,0,0,0,0,0,0,0,0,20.0,20.0,60.0,4
2010,employed all year,12.0,96111.81972789115,893.5476,42.0,full-time,bachelor's degree,0,educational services,teachers and professors,0,1,1,0,1,0,1,0,0,0,0,1,0,1000.0,1000.0,168.0,5
2010,employed all year,4.0,27839.285714285717,456.5994,23.0,full-time,non-university postsecondary certificate,0,transportation and warehousing,other trades,0,1,1,1,0,0,0,1,0,1,0,0,0,20.0,20.0,8.0,4
2010,employed all year,1.0,55678.571428571435,601.6326,24.0,full-time,bachelor's degree,0,manufacturing,machine operators and assemblers in manufacturing,0,1,1,0,1,0,0,0,0,0,0,0,0,1000.0,100.0,13.0,5
2010,employed all year,22.0,33142.00680272109,619.2075,49.0,full-time,non-university postsecondary certificate,0,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,20.0,144.0,4
2010,employed all year,22.0,30490.646258503402,1403.4782,61.0,full-time,5-8 years of elementary school,1,accommodation and food services,"chefs and cooks, food and beverage service",0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,336.0,2
2010,employed all year,18.0,60981.292517006805,823.2994,40.0,full-time,non-university postsecondary certificate,0,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,1000.0,206.0,4
2010,employed all year,8.0,29164.96598639456,766.9106,32.0,full-time,non-university postsecondary certificate,1,health care and social assistance,"technical, assisting and related in health",0,1,1,1,0,0,1,1,0,0,0,1,0,100.0,100.0,93.0,4
2010,employed all year,6.0,59655.61224489796,724.3512,34.0,full-time,bachelor's degree,0,health care and social assistance,"occupations in social science, government service and religion",0,1,1,0,1,0,1,0,0,0,0,1,0,100.0,20.0,68.0,5
2010,employed all year,31.0,76226.6156462585,307.6606,50.0,full-time,non-university postsecondary certificate,0,"business, building and other support services",other trades,0,1,1,1,0,0,0,0,0,0,0,0,1,20.0,1.0,324.0,4
2010,employed all year,4.0,24525.085034013606,332.8556,34.0,full-time,non-university postsecondary certificate,1,trade,clerical and supervisor occupations,0,1,1,1,0,0,0,0,0,0,0,0,0,20.0,1.0,34.0,4
2010,employed all year,19.0,145824.8299319728,591.0228,50.0,full-time,university certificate above bachelor,1,educational services,teachers and professors,0,1,1,0,1,1,1,0,0,0,0,1,0,1000.0,1000.0,222.0,6
2010,employed all year,13.0,115997.02380952382,129.6051,60.0,full-time,some university (no certificate),1,educational services,teachers and professors,1,1,1,0,0,0,1,0,0,0,0,1,1,1000.0,100.0,218.0,3
2010,employed all year,4.0,72912.4149659864,1451.2722,23.0,full-time,bachelor's degree,1,public administration,"financial, secretarial and administrative",0,1,1,0,1,0,0,1,0,0,0,1,1,1000.0,1000.0,24.0,5
2010,employed all year,22.0,37119.04761904762,1594.0625,47.0,full-time,non-university postsecondary certificate,1,trade,,0,1,1,1,0,0,0,0,0,0,0,0,0,20.0,20.0,168.0,4
2010,employed all year,41.0,63632.65306122449,393.3281,62.0,full-time,graduated high school,1,educational services,"financial, secretarial and administrative",0,1,1,0,0,0,1,0,0,0,0,1,0,1000.0,20.0,340.0,3
2010,employed all year,48.0,89483.41836734694,478.6699,68.0,full-time,9-10 years of elementary and secondary school,1,"information, culture and recreation",clerical and supervisor occupations,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0,100.0,12.0,2
2010,"employed part-year, unemployed part-year",36.0,122625.42517006803,61.0912,52.0,full-time,11-13 years of elementary and secondary school (not graduated),0,"forestry, fishing, mining, oil and gas",occupations unique to primary industry,0,1,0,0,0,0,1,0,0,0,0,0,0,1000.0,1000.0,256.0,2
2010,employed all year,22.0,92797.61904761905,144.8324,49.0,full-time,non-university postsecondary certificate,1,health care and social assistance,"technical, assisting and related in health",0,1,1,1,0,0,0,0,0,0,0,1,0,1000.0,100.0,48.0,4
2010,employed all year,23.0,129253.82653061225,155.3396,45.0,full-time,bachelor's degree,1,manufacturing,natural and applied sciences,0,1,1,0,1,0,1,0,0,0,0,0,0,1000.0,100.0,59.0,5
2010,employed all year,1.0,57004.251700680274,3916.2505,35.0,full-time,graduated high school,1,other services,childcare and home support workers,0,1,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,14.0,3
2010,employed all year,15.0,122625.42517006803,358.344,36.0,full-time,non-university postsecondary certificate,0,manufacturing,machine operators and assemblers in manufacturing,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,20.0,24.0,4
2010,employed all year,15.0,125939.62585034015,318.4246,33.0,full-time,non-university postsecondary certificate,0,construction,construction trades,0,1,1,1,0,0,1,0,0,0,0,0,0,1000.0,100.0,153.0,4
2010,employed all year,4.0,54352.89115646259,398.7793,28.0,full-time,bachelor's degree,1,health care and social assistance,,0,1,1,0,1,0,0,0,0,0,0,1,0,1000.0,1000.0,15.0,5
2010,employed all year,26.0,106054.42176870749,475.7969,45.0,full-time,non-university postsecondary certificate,0,manufacturing,other trades,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,1000.0,153.0,4
2010,employed all year,5.0,49050.17006802721,1021.8779,28.0,full-time,non-university postsecondary certificate,1,accommodation and food services,occupation in protective services,0,1,1,1,0,0,0,0,0,0,0,1,0,1000.0,1000.0,24.0,4
2010,employed all year,32.0,76226.6156462585,449.9689,51.0,full-time,non-university postsecondary certificate,0,"finance, insurance, real estate and leasing",transport and equipment operators,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,21.0,4
2010,employed all year,32.0,58329.93197278912,194.4339,57.0,full-time,non-university postsecondary certificate,1,"professional, scientific and technical services","financial, secretarial and administrative",0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,24.0,4
2010,employed all year,9.0,66284.01360544217,1034.0672,44.0,full-time,9-10 years of elementary and secondary school,1,health care and social assistance,clerical and supervisor occupations,0,1,0,0,0,0,1,0,0,0,0,1,0,500.0,100.0,235.0,2
2010,employed all year,17.0,119311.22448979592,860.3192,38.0,full-time,non-university postsecondary certificate,0,public administration,natural and applied sciences,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,500.0,195.0,4
2010,employed all year,38.0,10274.022108843537,400.6434,61.0,full-time,bachelor's degree,0,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,1,1,0,1,0,0,0,0,0,0,0,0,100.0,20.0,33.0,5
2010,employed all year,23.0,96111.81972789115,194.3928,45.0,full-time,non-university postsecondary certificate,0,utilities,other trades,0,1,1,1,0,0,1,0,0,0,0,1,0,1.0,1.0,141.0,4
2010,employed all year,48.0,86169.21768707484,250.4569,64.0,full-time,9-10 years of elementary and secondary school,0,transportation and warehousing,transport and equipment operators,0,1,0,0,0,0,1,0,0,0,0,0,0,100.0,100.0,480.0,2
2010,employed all year,3.0,86169.21768707484,362.4481,24.0,full-time,some university (no certificate),1,health care and social assistance,"technical, assisting and related in health",0,1,1,0,0,0,0,0,0,0,0,1,0,1000.0,1000.0,19.0,3
2010,employed all year,8.0,41096.08843537415,130.3054,32.0,full-time,bachelor's degree,1,manufacturing,clerical and supervisor occupations,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,140.0,5
2010,employed all year,41.0,54352.89115646259,290.1785,56.0,full-time,graduated high school,0,transportation and warehousing,transport and equipment operators,0,1,1,0,0,0,0,0,0,0,0,0,0,100.0,20.0,67.0,3
2010,employed all year,41.0,38444.727891156464,389.2513,63.0,full-time,11-13 years of elementary and secondary school (not graduated),1,trade,clerical and supervisor occupations,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,39.0,2
2010,employed all year,2.0,29164.96598639456,177.7336,20.0,part-time,non-university postsecondary certificate,1,health care and social assistance,"technical, assisting and related in health",0,1,1,1,0,0,1,0,0,0,0,0,0,100.0,100.0,14.0,4
2010,employed all year,10.0,76226.6156462585,364.6905,33.0,full-time,non-university postsecondary certificate,0,"forestry, fishing, mining, oil and gas",occupations unique to primary industry,0,1,1,1,0,0,0,0,0,0,0,0,1,100.0,20.0,33.0,4
2010,employed all year,15.0,21873.72448979592,62.916,39.0,part-time,some non-university postsecondary (no certificate),0,accommodation and food services,,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,24.0,3
2010,employed all year,17.0,82855.01700680272,95.1852,39.0,full-time,some non-university postsecondary (no certificate),0,trade,middle management,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,264.0,3
2010,employed all year,36.0,132568.02721088435,440.5033,55.0,full-time,non-university postsecondary certificate,0,health care and social assistance,middle management,0,1,1,1,0,0,0,0,0,0,0,0,1,1000.0,100.0,127.0,4
2010,employed all year,12.0,72912.4149659864,458.3559,46.0,full-time,bachelor's degree,1,health care and social assistance,"occupations in social science, government service and religion",1,1,1,0,1,0,1,0,0,0,0,1,1,20.0,1.0,61.0,5
2010,employed all year,12.0,59655.61224489796,1347.8155,48.0,full-time,university certificate above bachelor,1,manufacturing,other trades,0,1,1,0,1,1,0,0,0,0,0,0,0,20.0,20.0,76.0,6
2010,employed all year,6.0,20548.044217687075,2119.3359,28.0,full-time,university certificate above bachelor,1,accommodation and food services,,0,1,1,0,1,1,0,0,0,0,0,0,0,20.0,1.0,24.0,6
2010,employed all year,20.0,112682.8231292517,688.1936,44.0,full-time,non-university postsecondary certificate,1,health care and social assistance,professional in health,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,1000.0,264.0,4
2010,employed all year,6.0,26513.60544217687,233.2396,34.0,part-time,graduated high school,0,"information, culture and recreation",,0,1,1,0,0,0,0,0,0,0,0,1,0,1000.0,100.0,84.0,3
2010,employed all year,37.0,60981.292517006805,278.3394,55.0,full-time,graduated high school,1,utilities,"financial, secretarial and administrative",1,1,1,0,0,0,1,0,0,0,0,1,1,1000.0,1000.0,445.0,3
2010,employed all year,8.0,30490.646258503402,1086.4429,33.0,full-time,non-university postsecondary certificate,0,trade,other trades,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,33.0,4
2010,employed all year,23.0,109368.6224489796,514.9242,46.0,full-time,non-university postsecondary certificate,0,construction,other trades,0,1,1,1,0,0,1,0,0,0,0,0,0,20.0,1.0,218.0,4
2010,employed all year,29.0,245250.85034013606,1263.8798,48.0,full-time,non-university postsecondary certificate,1,"professional, scientific and technical services",middle management,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,100.0,240.0,4
2010,employed all year,37.0,63632.65306122449,2350.875,64.0,part-time,bachelor's degree,1,health care and social assistance,professional in health,0,1,1,0,1,0,1,0,0,0,0,1,0,1000.0,1000.0,408.0,5
2010,employed all year,34.0,59655.61224489796,1561.7973,57.0,full-time,graduated high school,0,manufacturing,machine operators and assemblers in manufacturing,0,1,1,0,0,0,0,0,0,0,0,0,0,20.0,20.0,420.0,3
2010,employed all year,23.0,96111.81972789115,592.0065,53.0,full-time,bachelor's degree,1,educational services,teachers and professors,0,1,1,0,1,0,1,0,0,0,0,1,0,100.0,100.0,169.0,5
2010,employed all year,45.0,50375.85034013606,478.1155,62.0,full-time,5-8 years of elementary school,0,manufacturing,transport and equipment operators,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,68.0,2
2010,employed all year,5.0,34467.68707482993,558.5075,26.0,full-time,non-university postsecondary certificate,1,health care and social assistance,,0,1,1,1,0,0,1,0,0,0,0,0,0,100.0,100.0,111.0,4
2010,employed all year,18.0,26513.60544217687,515.0572,39.0,full-time,graduated high school,0,construction,construction trades,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,1.0,46.0,3
2010,employed all year,47.0,139196.42857142858,219.34,65.0,full-time,non-university postsecondary certificate,0,educational services,middle management,0,1,1,1,0,0,1,0,0,0,0,0,0,1.0,1.0,50.0,4
2010,employed all year,19.0,96111.81972789115,619.2075,49.0,full-time,non-university postsecondary certificate,1,public administration,"financial, secretarial and administrative",0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,100.0,30.0,4
2010,employed all year,28.0,62306.97278911565,360.9252,49.0,full-time,11-13 years of elementary and secondary school (not graduated),1,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0,1000.0,123.0,2
2010,employed all year,21.0,76226.6156462585,207.9214,44.0,full-time,bachelor's degree,1,health care and social assistance,middle management,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,138.0,5
2010,employed all year,35.0,49050.17006802721,272.7356,53.0,full-time,graduated high school,0,transportation and warehousing,transport and equipment operators,0,1,1,0,0,0,1,0,0,0,0,1,0,1000.0,20.0,152.0,3
2010,employed all year,16.0,57004.251700680274,318.6475,48.0,full-time,some non-university postsecondary (no certificate),1,other services,clerical and supervisor occupations,0,1,1,0,0,0,0,0,0,0,0,0,0,100.0,1.0,186.0,3
2010,employed all year,32.0,145824.8299319728,455.1746,48.0,full-time,non-university postsecondary certificate,0,utilities,"financial, secretarial and administrative",0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,20.0,379.0,4
2010,employed all year,37.0,79540.81632653062,504.5317,53.0,full-time,graduated high school,1,manufacturing,middle management,0,1,1,0,0,0,0,0,0,0,0,0,0,20.0,20.0,296.0,3
2010,employed all year,26.0,50375.85034013606,214.7173,49.0,full-time,non-university postsecondary certificate,1,"finance, insurance, real estate and leasing",middle management,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,1.0,136.0,4
2010,employed all year,28.0,86169.21768707484,446.3525,54.0,full-time,non-university postsecondary certificate,0,public administration,"chefs and cooks, food and beverage service",0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,100.0,125.0,4
2010,employed all year,12.0,159081.63265306124,1148.296,50.0,full-time,university certificate above bachelor,1,health care and social assistance,professional in health,0,1,1,0,1,1,0,1,0,0,0,1,0,1000.0,1000.0,163.0,6
2010,"employed part-year, unemployed part-year",15.0,79540.81632653062,1685.5702,43.0,full-time,non-university postsecondary certificate,0,"forestry, fishing, mining, oil and gas",natural and applied sciences,0,1,1,1,0,0,0,0,0,0,0,0,0,20.0,20.0,7.0,4
2010,employed all year,24.0,72912.4149659864,833.5368,47.0,full-time,non-university postsecondary certificate,1,"business, building and other support services",,0,1,1,1,0,0,0,0,0,0,0,0,0,20.0,20.0,156.0,4
2010,employed all year,28.0,47724.48979591837,1482.5374,48.0,full-time,graduated high school,1,educational services,"financial, secretarial and administrative",0,1,1,0,0,0,1,0,0,0,0,1,0,1000.0,20.0,124.0,3
2010,employed all year,24.0,26513.60544217687,1640.2031,44.0,full-time,some non-university postsecondary (no certificate),1,public administration,clerical and supervisor occupations,0,1,1,0,0,0,1,0,0,0,0,1,0,1000.0,100.0,71.0,3
